postcodes,district,county,district_county,agriculture_animal_production_hunting_forestry_and_fishing,extractive_industries,manufacturing_industries,electricity_gas_steam_hot_and_cold_water_and_cold air,water_collection_treatment_and_distribution,construction,wholesale_and_retail_trade,transport_and_storage,accommodation_catering_and_similar,information_and_communication_activity,real_estate_activities,consulting_scientific_technical_and_similar_activities,administrative_activities_and_support_services,education,human_health_and_social_support_activities,artistic_concert_sporting_and_recreational_activities,other_service_activities
2009,Santarém,Santarém,Santarém_Santarém,0.08321579689703808,0.006488011283497884,0.05133991537376587,0.006770098730606488,0.0011283497884344146,0.05684062059238364,0.1853314527503526,0.028772919605077576,0.06473906911142455,0.018335684062059238,0.033568406205923836,0.09971791255289139,0.13272214386459802,0.056558533145275036,0.09760225669957687,0.027362482369534556,0.04950634696755995
2230,Santarém,Sardoal,Santarém_Sardoal,0.11940298507462689,0,0.07960199004975126,0.03482587064676618,0,0.1293532338308458,0.14179104477611942,0.019900497512437814,0.07960199004975126,0.009950248756218907,0.022388059701492543,0.06965174129353235,0.09701492537313434,0.04228855721393036,0.0746268656716418,0.03482587064676618,0.044776119402985086
2305,Santarém,Tomar,Santarém_Tomar,0.042956563474922015,7.199424046076316e-4,0.04343652507799377,0.0083993280537557,0.0014398848092152632,0.08927285817134631,0.1943844492440605,0.013198944084473243,0.08423326133909288,0.012718982481401488,0.02783777297816175,0.09551235901127911,0.12838972882169428,0.057355411567074646,0.09935205183585313,0.03623710103191745,0.06455483561315095
2300,Santarém,Tomar,Santarém_Tomar,0.042956563474922015,7.199424046076316e-4,0.04343652507799377,0.0083993280537557,0.0014398848092152632,0.08927285817134631,0.1943844492440605,0.013198944084473243,0.08423326133909288,0.012718982481401488,0.02783777297816175,0.09551235901127911,0.12838972882169428,0.057355411567074646,0.09935205183585313,0.03623710103191745,0.06455483561315095
2350,Santarém,Torres Novas,Santarém_Torres Novas,0.05537098560354373,0,0.042358803986710956,0.011904761904761902,0.0038759689922480615,0.08111849390919157,0.19462901439645622,0.024086378737541526,0.07198228128460686,0.009966777408637873,0.028792912513842743,0.10548172757475083,0.1215393133997785,0.0683831672203765,0.09496124031007751,0.03239202657807309,0.05315614617940199
2260,Santarém,Vila Nova da Barquinha,Santarém_Vila Nova da Barquinha,0.026533996683250415,0,0.03482587064676616,0.014925373134328358,0.001658374792703151,0.05140961857379768,0.1956882255389718,0.013266998341625208,0.1111111111111111,0.014925373134328358,0.03648424543946932,0.09286898839137646,0.14427860696517414,0.06467661691542288,0.06799336650082918,0.05140961857379768,0.07794361525704809
7580,Setúbal,Alcácer do Sal,Setúbal_Alcácer do Sal,0.3448087431693989,5.46448087431694e-4,0.03825136612021858,0.00273224043715847,0.0016393442622950822,0.06557377049180328,0.12021857923497267,0.008743169398907104,0.10437158469945355,0.009289617486338797,0.029508196721311476,0.061202185792349734,0.09672131147540984,0.017486338797814208,0.03114754098360656,0.022404371584699455,0.0453551912568306
7595,Setúbal,Alcácer do Sal,Setúbal_Alcácer do Sal,0.3448087431693989,5.46448087431694e-4,0.03825136612021858,0.00273224043715847,0.0016393442622950822,0.06557377049180328,0.12021857923497267,0.008743169398907104,0.10437158469945355,0.009289617486338797,0.029508196721311476,0.061202185792349734,0.09672131147540984,0.017486338797814208,0.03114754098360656,0.022404371584699455,0.0453551912568306
2890,Setúbal,Alcochete,Setúbal_Alcochete,0.04967502321262768,0,0.039461467038068715,0.0023212627669452184,0.0013927576601671314,0.0552460538532962,0.14995357474466112,0.019034354688950792,0.0701021355617456,0.03249767873723306,0.045032497678737245,0.12999071494893225,0.16945218198700096,0.05292479108635098,0.08635097493036213,0.04642525533890437,0.05013927576601672
2894,Setúbal,Alcochete,Setúbal_Alcochete,0.04967502321262768,0,0.039461467038068715,0.0023212627669452184,0.0013927576601671314,0.0552460538532962,0.14995357474466112,0.019034354688950792,0.0701021355617456,0.03249767873723306,0.045032497678737245,0.12999071494893225,0.16945218198700096,0.05292479108635098,0.08635097493036213,0.04642525533890437,0.05013927576601672
